ip,model,serial,issue,days_left,end_date,
10.224.18.68,Antminer_S21_XP,THQGFMUBDJHBC03WA,P1,68,10/18/2025,B34S5
10.224.18.69,Antminer_S21_XP,THQGFMUBDJHBC03S0,P1,68,10/18/2025,B34S5
10.224.18.78,Antminer_S21_XP,THQGFMUBDJHBC03TA,P1,68,10/18/2025,B34S5
10.224.19.102,Antminer_S21_XP,ONETFMUBDJIAB029Y,P1,61,10/11/2025,B34S5
10.224.19.112,Antminer_S21_XP,THQGFMUBDJIBG007E,P1,64,10/14/2025,B34S5
10.224.19.18,Antminer_S21_XP,THQGFMUBDJIBG00MG,P1,64,10/14/2025,B34S5
10.224.20.101,Antminer_S21_XP,PIEMFMUBDJHBH04C0,P1,53,10/3/2025,B34S6
10.224.20.119,Antminer_S21_XP,PIEMFMUBDJHBH03BX,P1,48,9/28/2025,B34S6
10.224.20.137,Antminer_S21_XP,PIEMFMUBDJHBH038Y,P1,48,9/28/2025,B34S6
10.224.20.144,Antminer_S21_XP,ONETFMUBDJIAB02GA,P1,62,10/12/2025,B34S6
10.224.20.185,Antminer_S21_XP,YNAHFMUBDJIJC01GB,P1,49,9/29/2025,B34S6
10.224.20.20,Antminer_S21_XP,PIEMFMUBDJHBH03ZR,P1,53,10/3/2025,B34S6
10.224.20.205,Antminer_S21_XP,YNAHFMUBDJIJC03L6,P1,62,10/12/2025,B34S6
10.224.20.247,Antminer_S21_XP,YNAHFMUBDJIJC03S4,P1,62,10/12/2025,B34S6
10.224.20.48,Antminer_S21_XP,PIEMFMUBDJHBH034N,P1,48,9/28/2025,B34S6
10.224.20.93,Antminer_S21_XP,PIEMFMUBDJHBH03B1,P1,48,9/28/2025,B34S6
10.224.20.98,Antminer_S21_XP,YNAHFMUBDJIJC01SK,P1,49,9/29/2025,B34S6
10.224.21.146,Antminer_S21_XP,PIEMFMUBDJHBH04C1,P1,53,10/3/2025,B34S6
10.224.21.52,Antminer_S21_XP,YNAHFMUBDJIJC02T1,P1,62,10/12/2025,B34S6
10.224.21.67,Antminer_S21_XP,THQGFMUBDJHBC07N0,P1,63,10/13/2025,B34S6
10.224.21.92,Antminer_S21_XP,PIEMFMUBDJHBH039N,P1,48,9/28/2025,B34S6
10.224.22.14,Antminer_S21_XP,THQGFMUBDJHBC067J,P1,63,10/13/2025,B34S6
10.224.22.150,Antminer_S21_XP,THQGFMUBDJHBC06EB,P1,63,10/13/2025,B34S6
10.224.22.200,Antminer_S21_XP,THQGFMUBDJHBC06HS,P1,63,10/13/2025,B34S6
10.224.22.233,Antminer_S21_XP,ONETFMUBDJIAB01FA,P1,63,10/13/2025,B34S6
10.224.22.235,Antminer_S21_XP,THQGFMUBDJHBC082S,P1,63,10/13/2025,B34S6
10.224.22.53,Antminer_S21_XP,ONETFMUBDJIAB0192,P1,63,10/13/2025,B34S6
10.224.23.108,Antminer_S21_XP,THQGFMUBDJHBC06ZV,P1,63,10/13/2025,B34S6
10.224.23.12,Antminer_S21_XP,ONETFMUBDJIAB02NF,P1,61,10/11/2025,B34S6
10.224.23.140,Antminer_S21_XP,THQGFMUBDJHBC06AD,P1,63,10/13/2025,B34S6
10.224.23.141,Antminer_S21_XP,THQGFMUBDJHJA00SP,P1,63,10/13/2025,B34S6
10.224.23.15,Antminer_S21_XP,THQGFMUBDJIBG00S3,P1,63,10/13/2025,B34S6
10.224.23.42,Antminer_S21_XP,THQGFMUBDJHBC05A8,P1,63,10/13/2025,B34S6
10.224.23.84,Antminer_S21_XP,THQGFMUBDJHBC06HW,P1,63,10/13/2025,B34S6
10.224.24.157,Antminer_S21_XP,YNAHFMUBDJIJC02WH,P1,62,10/12/2025,B34S7
10.224.24.16,Antminer_S21_XP,THQGFMUBDJHBC06FA,P1,63,10/13/2025,B34S7
10.224.24.163,Antminer_S21_XP,YNAHFMUBDJIJC02WM,P1,62,10/12/2025,B34S7
10.224.24.171,Antminer_S21_XP,YNAHFMUBDJIJC02WJ,P1,62,10/12/2025,B34S7
10.224.24.21,Antminer_S21_XP,THQGFMUBDJHBC05W6,P1,63,10/13/2025,B34S7
10.224.24.253,Antminer_S21_XP,THQGFMUBDJHBC05SY,P1,63,10/13/2025,B34S7
10.224.24.30,Antminer_S21_XP,THQGFMUBDJHBC04MP,P1,63,10/13/2025,B34S7
10.224.24.38,Antminer_S21_XP,ONETFMUBDJIAB00ZG,P1,61,10/11/2025,B34S7
10.224.24.4,Antminer_S21_XP,THQGFMUBDJHBC05W9,P1,63,10/13/2025,B34S7
10.224.24.46,Antminer_S21_XP,PIEMFMUBDJHBH01ZE,P1,53,10/3/2025,B34S7
10.224.24.48,Antminer_S21_XP,THQGFMUBDJHBC06GZ,P1,63,10/13/2025,B34S7
10.224.24.51,Antminer_S21_XP,YNAHFMUBDJIJC02XP,P1,62,10/12/2025,B34S7
10.224.24.66,Antminer_S21_XP,THQGFMUBDJHBC06PY,P1,63,10/13/2025,B34S7
10.224.24.69,Antminer_S21_XP,YNAHFMUBDJIJC037Z,P1,62,10/12/2025,B34S7
10.224.24.76,Antminer_S21_XP,PIEMFMUBDJHBH041J,P1,53,10/3/2025,B34S7
10.224.24.82,Antminer_S21_XP,PIEMFMUBDJHBH042L,P1,53,10/3/2025,B34S7
10.224.24.84,Antminer_S21_XP,YNAHFMUBDJIJC03NJ,P1,62,10/12/2025,B34S7
10.224.24.96,Antminer_S21_XP,PIEMFMUBDJHBH041R,P1,53,10/3/2025,B34S7
10.224.25.101,Antminer_S21_XP,ONETFMUBDJIAB0177,P1,62,10/12/2025,B34S7
10.224.25.117,Antminer_S21_XP,ONETFMUBDJIAB016F,P1,61,10/11/2025,B34S7
10.224.25.129,Antminer_S21_XP,YNAHFMUBDJIJC03H4,P1,62,10/12/2025,B34S7
10.224.25.144,Antminer_S21_XP,THQGFMUBDJHBC064R,P1,63,10/13/2025,B34S7
10.224.25.32,Antminer_S21_XP,YNAHFMUBDJIJC03H2,P1,62,10/12/2025,B34S7
10.224.25.36,Antminer_S21_XP,YNAHFMUBDJIJC02X1,P1,62,10/12/2025,B34S7
10.224.25.37,Antminer_S21_XP,ONETFMUBDJIAB00L2,P1,62,10/12/2025,B34S7
10.224.25.43,Antminer_S21_XP,ONETFMUBDJIAB014M,P1,61,10/11/2025,B34S7
10.224.25.62,Antminer_S21_XP,ONETFMUBDJIAB00C2,P1,62,10/12/2025,B34S7
10.224.25.71,Antminer_S21_XP,THQGFMUBDJHBC06KZ,P1,63,10/13/2025,B34S7
10.224.25.82,Antminer_S21_XP,THQGFMUBDJHBC060G,P1,63,10/13/2025,B34S7
10.224.25.83,Antminer_S21_XP,ONETFMUBDJIAB00YP,P1,61,10/11/2025,B34S7
10.224.25.84,Antminer_S21_XP,THQGFMUBDJHBC05SP,P1,63,10/13/2025,B34S7
10.224.25.94,Antminer_S21_XP,ONETFMUBDJIAB00KL,P1,62,10/12/2025,B34S7
